Ct OIII SII NII OII Ha Hb
254 1.1384E+34 3.2248E+34 2.6379E+34 4.9798E+34 1.1394E+35 4.0555E+34
255 3.6457E+34 2.4320E+34 2.7092E+34 1.2233E+35 3.3337E+35 1.2094E+35
256 5.9736E+33 3.5048E+32 5.7780E+32 5.9197E+33 1.0715E+35 3.9204E+34
257 6.2427E+33 6.4838E+32 1.0212E+33 8.4887E+33 1.4461E+35 5.2813E+34
258 6.2483E+33 1.0246E+33 1.5497E+33 1.0904E+34 1.8038E+35 6.5793E+34
259 6.2483E+33 1.3238E+33 1.9203E+33 1.2547E+34 2.0625E+35 7.5167E+34
260 6.2483E+33 1.9118E+33 2.5501E+33 1.5269E+34 2.5239E+35 9.1853E+34
261 6.2483E+33 2.3782E+33 2.9757E+33 1.7044E+34 2.8575E+35 1.0388E+35
262 6.4091E+33 2.0045E+34 1.4366E+35 1.7376E+34 1.2217E+35 4.3052E+34
263 9.7699E+33 3.2250E+34 7.5098E+34 3.9475E+34 1.2075E+35 4.2826E+34
264 2.2486E+33 8.7543E+33 1.9212E+35 4.0266E+33 1.2422E+35 4.3314E+34
265 3.0171E+34 2.1147E+33 3.3557E+34 2.5502E+34 1.0923E+35 3.9752E+34
266 3.1586E+34 4.2039E+33 6.3905E+34 3.7384E+34 1.5368E+35 5.5825E+34
267 3.1593E+34 6.2603E+33 9.1205E+34 4.5899E+34 1.8852E+35 6.8409E+34
268 3.1593E+34 8.2465E+33 1.1455E+35 5.3271E+34 2.1758E+35 7.8908E+34
269 6.2867E+33 1.8879E+33 2.4835E+34 4.6450E+33 3.9909E+34 1.4109E+34
270 3.1593E+34 1.2167E+34 1.5469E+35 6.6299E+34 2.6532E+35 9.6158E+34
271 3.1593E+34 1.5935E+34 1.8765E+35 7.7358E+34 3.0236E+35 1.0954E+35
272 3.1593E+34 2.0491E+34 2.2084E+35 8.8599E+34 3.3903E+35 1.2274E+35
273 9.5456E+33 2.9337E+33 1.2198E+34 9.1997E+33 4.0648E+34 1.4442E+34
274 6.4080E+33 3.2989E+33 3.9847E+34 6.0938E+33 5.3889E+34 1.9024E+34
275 9.7683E+33 5.2517E+33 2.0128E+34 1.2726E+34 5.4002E+34 1.9171E+34
276 6.4091E+33 4.7210E+33 5.3017E+34 7.2213E+33 6.5958E+34 2.3263E+34
